日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2017/01/03,新竹,WD_HR,54,62,162,103,68,69,64,60,68,66,72,65,56,58,57,61,62,58,63,67,65,49,48,52
2017/01/03,新竹,WIND_DIREC,71,54,223,82,69,64,63,70,81,75,61,56,55,49,58,67,59,62,69,62,61,54,46,55
2017/01/03,新竹,WIND_SPEED,0.9,0.5,0.6,1.1,1.4,1.4,3.3,3.3,2.3,3.5,3,4.6,3.1,3.4,3.2,2.9,3.2,2.3,2.4,2,2.1,2.4,2.8,2.1
2017/01/03,新竹,WS_HR,1.1,0.8,0.5,0.6,0.9,1,2,2.6,1.9,2.8,2.7,2.9,2.9,2.7,2.6,2.5,2.4,1.8,1.9,1.6,2,1.8,1.9,2
2017/01/04,新竹,AMB_TEMP,21,21,21,20,20,20,19,19,20,21,22,22,22,23,23,23,23,23,22,22,22,21,21,20
2017/01/04,新竹,CH4,1.9,1.9,1.9,2,1.9,1.9,2,1.9,1.9,1.9,2,2,1.9,1.9,1.9,1.9,1.8,1.9,2,2,2,2.4,2.5,2.5
2017/01/04,新竹,CO,0.31,0.26,0.27,0.24,0.26,0.27,0.34,0.62,0.87,0.68,0.76,0.76,0.61,0.48,0.45,0.49,0.43,0.68,1.03,1.08,1.05,1.63,1.81,1.41
2017/01/04,新竹,NMHC,0.15,0.11,0.16,0.21,0.11,0.08,0.22,0.18,0.29,0.23,0.3,0.29,0.22,0.16,0.16,0.17,0.18,0.31,0.52,0.38,0.36,0.73,0.8,0.59
2017/01/04,新竹,NO,0.9,0.8,0.9,0.9,1.1,0.9,9.2,23,23,16,28,33,12,4.4,5.8,4.2,1.5,1.3,5.4,2.9,2,34,55,25
2017/01/04,新竹,NO2,18,14,16,15,10,9.2,15,18,28,34,35,34,27,19,27,23,15,23,36,40,39,40,39,34
2017/01/04,新竹,NOx,19,15,17,16,11,10,24,41,51,50,64,66,39,24,32,27,16,25,41,43,41,75,94,60
2017/01/04,新竹,O3,21,26,20,23,33,32,2.3,0.5,2.7,6.8,7.1,3.9,15,32,32,40,52,35,6,7.3,7.5,0.9,0.2,0.4
2017/01/04,新竹,PM10,41,42,39,45,55,58,49,38,47,62,70,68,65,59,56,56,51,54,60,64,68,71,78,77
2017/01/04,新竹,PM2.5,20,22,22,26,22,16,17,18,19,24,33,37,30,22,24,28,25,26,29,28,34,38,38,38
2017/01/04,新竹,RAINFALL,NR,NR,NR,NR,NR,NR,0.4,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2017/01/04,新竹,RH,79,80,81,83,85,86,88,86,83,83,81,80,78,74,71,68,68,70,79,79,80,82,83,85
2017/01/04,新竹,SO2,3.4,2.5,3,3.1,2.8,1.7,1.5,2.3,3.1,2.9,3.7,3,2.5,2.3,3.2,2.5,2.1,2.1,3.2,2.2,2,3.4,3.8,2.3
2017/01/04,新竹,THC,2.1,2,2.1,2.2,2,1.9,2.2,2.1,2.2,2.1,2.3,2.2,2.1,2,2,2,2,2.2,2.5,2.4,2.4,3.2,3.3,3.1
2017/01/04,新竹,WD_HR,53,61,50,49,56,61,57,71,63,97,235,235,241,250,245,248,281,300,224,269,288,38,153,196
2017/01/04,新竹,WIND_DIREC,47,60,53,53,61,87,71,85,50,182,219,251,233,264,247,269,317,291,142,277,285,54,187,141
2017/01/04,新竹,WIND_SPEED,2,1.3,1.3,1,2.5,1,0.7,1,0.9,0.8,1.9,1.4,1.6,1.5,1.7,1.1,0.5,0.7,0.7,0.5,0.5,0.8,0.6,0.5
2017/01/04,新竹,WS_HR,1.3,1.4,1,0.9,0.8,1.4,0.6,0.6,0.5,0.6,1.1,1.5,1.6,1.8,1.5,1.2,0.6,0.4,0.3,0.3,0.3,0.5,0.4,0.3
2017/01/05,新竹,AMB_TEMP,20,20,19,19,19,19,19,19,19,20,22,23,23,23,22,22,22,21,21,21,21,21,21,20
2017/01/05,新竹,CH4,2.4,2.5,2.1,2,2,2,2,2,2,2,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.9,1.9,1.9,1.9,2,2,2
2017/01/05,新竹,CO,1.31,0.9,0.44,0.39,0.43,0.51,0.7,0.97,0.84,0.78,0.64,0.52,0.58,0.46,0.39,0.43,0.45,0.56,0.62,0.65,0.82,0.79,0.69,0.61
2017/01/05,新竹,NMHC,0.57,0.44,0.17,0.16,0.18,0.24,0.3,0.4,0.37,0.33,0.24,0.16,0.18,0.13,0.11,0.14,0.14,0.18,0.18,0.2,0.25,0.27,0.25,0.2
2017/01/05,新竹,NO,31,22,5.7,2,2.2,2.9,15,29,24,20,8.8,5.8,6.7,6.7,2.9,3,4.3,2,2,2,1.8,2.6,2.6,2.7
2017/01/05,新竹,NO2,34,29,27,18,21,26,30,29,29,28,24,22,22,21,12,19,22,18,18,20,24,31,27,28
2017/01/05,新竹,NOx,66,51,33,20,23,29,45,59,53,49,32,28,28,28,15,22,26,20,20,22,26,33,30,30
2017/01/05,新竹,O3,0.1,0,1.7,7.9,5,1.9,0.2,1.3,4.1,8.3,22,31,36,38,43,33,30,36,35,33,28,18,15,8.9
2017/01/05,新竹,PM10,68,64,70,77,78,79,94,110,112,109,102,0,84,82,71,62,53,53,63,71,77,81,87,93
2017/01/05,新竹,PM2.5,38,38,38,38,40,44,47,54,62,69,65,-2,49,51,48,38,28,28,44,51,47,48,51,58
2017/01/05,新竹,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2017/01/05,新竹,RH,86,87,90,91,91,91,90,89,88,84,78,71,71,70,73,78,75,78,84,85,82,82,84,86
2017/01/05,新竹,SO2,2.3,1.8,2.4,1.6,1.9,2,3.3,3.4,2.1,2.6,3.1,2.3,2.8,3.7,2.1,2.8,2.3,1.9,2.1,2.5,2.6,3.7,4.2,2.7
2017/01/05,新竹,THC,3,3,2.2,2.1,2.2,2.3,2.3,2.4,2.3,2.3,2.1,2,2.1,2,1.9,2,2,2,2,2.1,2.2,2.2,2.2,2.2
2017/01/05,新竹,WD_HR,169,229,258,246,193,213,205,194,190,222,244,255,250,246,262,248,232,282,304,291,240,201,213,167
2017/01/05,新竹,WIND_DIREC,183,248,259,164,189,225,227,195,188,242,247,240,263,253,292,235,239,304,288,189,240,173,184,162
2017/01/05,新竹,WIND_SPEED,0.5,1.2,1.3,0.5,0.7,0.7,1.1,1.1,1.3,1.3,1.4,2.1,2.2,2.1,2.2,1.2,1.5,1.4,0.6,0.5,0.8,0.7,0.8,1
2017/01/05,新竹,WS_HR,0.4,0.5,0.5,0.7,0.4,0.8,0.7,0.9,0.9,1,0.8,1.7,1.7,2,1.8,1.4,1,1,0.9,0.9,0.8,0.6,0.7,0.9
